PRIMARY VOTES	RUNOFF VOTES	GENERAL VOTES 	
		6	
71303		307237	
			
35721		163938	
35721			
22938		156937	
22938			
		13442	
		8597	
58659		342914	
			
29987		182460	
29987			
31254		139066	
31254			
79		10296	
79			
		9148	
61320		340970	
			
476069		2450839	
			
			
		14133	
			
		5477	
		2290	
		297061	
			
		15264	
14256		88103	
7050			
			
			
21306			
		3638	
		3511	
21306		299960	
			
		20410	
			
		1	
		1	
		291301	
			
		8609	
			
			
		293432	
			
		8467	
12717		137631	
9216			
6582			
			
28515			
		9710	
9536		128927	
8033			
6167			
5966			
			
29702			
		12	
		10	
58217		284757	
			
79523		1466511	
			
		35778	
94424		792983	
47109			
			
			
			
			
141533			
		46520	
82646		604569	
30802			
			
			
			
113448			
		25045	
		6414	
		388	
		40	
		19	
		8	
254981		1511764	
			
15018		129757	
7888			
22906			
22906		388059	
			
22906		388059	
			
43587		265415	
6028			
49615			
		1	
			
49615		399607	
			
52881		246664	
1474			
54355			
64		16524	
64			
265		13243	
64			
329			
769			
769			
		2132	
55517		278563	
			
55517		278563	
			
			
		11176	
		17	
		342594	
			
46900		157634	
22357			
11919			
4653			
85829			
		228	
85829		333718	
			
22273		204331	
21398			
12329			
8769			
64769			
		8870	
64769		315669	
			
46788		239988	
11816			
6505			
65109			
		75236	
		246	
65109		315470	
			
		7978	
		3	
		269153	
			
24132		195962	
14189			
8229			
8113			
6090			
739			
628			
62120			
29909		146489	
7253			
37162			
99282		342451	
			
32119		185518	
20404			
52523			
12816		130479	
8088			
20904			
		13	
73427		316010	
			
		12607	
		348909	
			
12585		98856	
7514			
3983			
2510			
26592			
			
			
26592		263747	
			
		46	
		318269	
			
		338663	
			
		6878	
		4915	
		330167	
			
39395		189605	
10548			
7049			
56992			
56992		329347	
			
12084		83480	
7953			
20037			
			
20037		280601	
			
			
			
		349076	
			
37881		165488	
13871			
51752			
		12	
51752		282266	
			
26791		166257	
3843			
2984			
33618			
45790		164353	
15758			
61548			
		55	
			
95166		330665	
			
22304		189833	
16005			
13167			
11498			
10389			
1028			
74391			
		6637	
74391		306216	
			
		29553	
		5	
		244285	
			
		37776	
		25361	
		284400	
			
18483		171021	
11644			
30127			
30127		313071	
			
8043		98096	
3383			
2356			
1674			
1380			
16836			
		3129	
16836		275430	
			
