PRIMARY VOTES	RUNOFF VOTES	GENERAL VOTES 	
57333			
67860		158282	
34213			
111			
102184			
29			
4			
1			
1			
1			
1			
1			
1			
1			
1			
41			
78			
2			
2			
1			
1			
1			
1			
1			
1			
1			
1			
1			
1			
1			
1			
1			
1			
96			
		1406	
159654		320851	
			
		9829	
		2503	
		12332	
			
		12332	
			
			
57496		201907	
57496			
4561		131490	
4505			
9066			
140		9674	
21			
161			
93		6645	
93			
66816		349716	
			
42482		194299	
37383			
4275			
2999			
29			
87168			
10176		137082	
10116			
20292			
107460		331381	
			
15848		201921	
14369			
6244			
4895			
41356			
16711		77903	
12335			
29046			
674		9462	
674			
182		6388	
182			
		5	
71258		295679	
			
70470		182643	
70470			
23341		114214	
23341			
25		16141	
25			
93836		312998	
			
76477		201514	
16135			
92612			
25530		137806	
25530			
338		12558	
338			
118480		351878	
			
56905		164536	
10888			
67793			
37374		144444	
8117			
45491			
113284		308980	
			
54067		178104	
13621			
67688			
22486		137708	
22486			
90174		315812	
			
71120		246380	
13733			
84853			
		62	
84853		246442	
			
42902		217775	
30564			
2900			
76366			
15166		68666	
14323			
29489			
170		11725	
170			
106025		298166	
			
65574		208201	
14435			
1839			
81848			
7705		131097	
5530			
2952			
2212			
1644			
1530			
21573			
136		10373	
136			
103557		349671	
			
65333		258378	
4570			
3169			
73072			
73072		258378	
			
72560		233874	
20610			
93170			
14312		134614	
6165			
20477			
113647		368488	
			
56670		235492	
56670			
27754		88120	
27754			
84424		323612	
			
69551			
69551			
29508		131638	
29508			
94		13038	
94			
221		11536	
221			
		6	
		0	
		0	
99374		339878	
			
70191		205277	
8404			
78595			
16483		128188	
12599			
29082			
107677		333465	
			
66487		185167	
66487			
37232		170604	
37232			
135			
135			
103854		355771	
			
1537791		5140315	
			
522827		2762766	
522827			
586556		2435744	
132205			
115621			
47933			
47740			
644			
930699			
		250617	
324			
74			
398			
337			
337			
1454261		5449127	
			
			
28055		181084	
24058			
52113			
		12807	
52113		285312	
			
12008	12059	143701	
6582	9167		
3479			
2871			
2479			
901			
28320	21226		
			
31793	25105	96081	
28632	18926		
8484			
68909	44031		
			
		10830	
97229	65257	250612	
			
33454		201744	
4492			
37946			
9252		53472	
8429			
17681			
		12787	
55627		268003	
			
22840		176740	
3195			
26035			
11935		71846	
8532			
20467			
		11745	
46502		260331	
			
		5394	
		5176	
		261677	
			
251471	65257	1325935	
			
			
57146		197845	
608			
57754			
18996		109699	
14274			
447			
33717			
		509	
91471		331980	
			
77498		228043	
581			
78079			
31157		96741	
8825			
751			
40733			
		446	
118812		332255	
			
84628		264979	
969			
85597			
14844		70325	
8237			
424			
23505			
		772	
109102		355875	
			
69864		212866	
7665			
212			
77741			
50090		140549	
1414			
51504			
		468	
129245		360088	
			
51652		177229	
805			
52457			
33448		139223	
16174			
320			
49942			
		402	
102399		327970	
			
551029		1708168	
			
			
42744		235394	
39			
42783			
10288		41708	
11			
10299			
53082		277102	
			
87620		318176	
66			
87686			
5562		33381	
12			
5574			
		4829	
93260		356386	
			
46382		165826	
215			
46597			
28355		123933	
188			
28543			
		12755	
75140		302514	
			
34881		181603	
12143			
9316			
3086			
2159			
2150			
1451			
111			
65297			
14188		104643	
11134			
203			
25525			
		11524	
		6210	
90822		303980	
			
49941		177740	
263			
50204			
25252		104725	
278			
25530			
75734		282465	
			
45206		191725	
274			
45480			
20037		143803	
94			
20131			
65611		335528	
			
55387		209942	
67			
55454			
20075		143509	
26			
20101			
75555		353451	
			
42935		199379	
0			
42935			
25595		152859	
0			
25595			
68530		352238	
			
41735		169177	
0			
41735			
1581		105128	
485			
2066			
43801		274305	
			
51373		179563	
161			
51534			
19291		94227	
182			
19473			
71007		273790	
			
49511		166967	
286			
49797			
18716		118231	
15609			
276			
34601			
84398		285198	
			
44360		175352	
362			
44722			
32384		163589	
30895			
176			
63455			
108177		338941	
			
36756		209901	
35			
36791			
21644		93918	
5			
21649			
58440		303819	
			
50323		251932	
12484			
149			
62956			
15936		75702	
225			
16161			
79117		327634	
			
38651		168960	
74			
38725			
14623		128764	
10265			
29			
24917			
63642		297724	
			
44110		156192	
374			
44484			
15839		111185	
82			
15921			
		12250	
		5154	
60405		284781	
			
33255		161393	
24953			
60			
58268			
26953		106208	
524			
27477			
85745		267601	
			
32854		216727	
18937			
67			
51858			
39096		122146	
279			
39375			
91233		338873	
			
		4265	
			
1343699		5560595	
			
565488		3021364	
133683			
2441			
701612			
299726		2509132	
169118			
158181			
79581			
51908			
2044			
760558			
		96926	
		2069	
1462170		5629491	
			
		13120	
		11764	
		5647	
		626	
		1856345	
			
		1856345	
			
			
30203		108612	
14702			
3701			
48606			
		12504	
		248	
		8	
		6	
48606		205115	
			
22161		124067	
7748			
29909			
5283		78189	
1488			
825			
454			
8050			
		20212	
		167	
		25	
37959		222660	
			
86565		427775	
			
60754		271034	
60754			
6934		146222	
6934			
		889	
		37	
		7	
67688		418189	
			
			
		214	
		290013	
			
23062		196116	
5557			
28619			
		7602	
28619		203718	
			
4782		84735	
2464			
7246			
		516	
7246		254763	
			
3678		84087	
1528			
5206			
		329	
5206		266884	
			
		236	
		278003	
			
		1978	
		233615	
			
10252	16844	153068	
12037	13173		
8107			
3824			
1457			
691			
641			
279			
180			
37468	30017		
			
16404	17930	114594	
12347	6733		
2375			
1408			
1132			
33666	24663		
		281	
			
71134	54680	275738	
			
112205	54680	1802734	
			
21759		153789	
8494			
30253			
30253		361429	
			
30253		361429	
			
			
53490		182252	
53490			
5687		47663	
5687			
		4837	
		2872	
		2048	
59177		239672	
			
36335		196894	
3919			
3317			
43571			
5617		54522	
5617			
		5733	
		4382	
		2974	
49188		264505	
			
29947		157830	
23779			
21997			
926			
76649			
14925		91094	
7342			
22267			
		7905	
		62	
		18	
98916		256909	
			
36088		128568	
10927			
47015			
17378		102022	
17378			
64393		230590	
			
28110		171621	
28110			
5462		86240	
5422			
4200			
3381			
2212			
20677			
		5222	
		12	
48787		263095	
			
44949		184383	
19836			
64785			
		34766	
		21633	
		455	
		4	
			
64785		241241	
			
41524		182730	
41524			
10436		61679	
10436			
		4640	
		4256	
		2740	
		1261	
51960		257306	
			
60355		190923	
9288			
69643			
6951		79490	
6771			
4621			
18343			
		6139	
		2870	
87986		279422	
			
49585		188422	
5944			
55529			
11748		59742	
4398			
1858			
368			
18372			
		1448	
		1372	
		2	
		1	
73901		250987	
			
599093		2283727	
			
389613		1506443	
28311			
15951			
11795			
11384			
457054			
48196		705882	
24814		18	
24289			
17744		218	
16387			
16194			
13392			
161016			
		38472	
		20936	
		18620	
		8085	
		8080	
		7148	
		6523	
		470	
		409	
		117	
		23	
		14	
		12	
		5	
		2	
618070		2321477	
			
			
67705		178322	
67705			
8207		67222	
8207			
75912		249658	
			
39336		159664	
39336			
6676		80512	
6676			
46012		246328	
			
33592		187180	
4848			
2002			
40442			
40442		187180	
			
38202		182679	
13719			
13532			
65453			
7389		60214	
7389			
		188	
72842		250343	
			
41348		134091	
41348			
2778	1848	69178	
2219	1190		
2097			
7094	3038		
48442	3038	208230	
			
26192		145019	
8154			
4725			
2356			
41427			
6609		98053	
3483			
698			
10790			
52217		249936	
			
37590		142793	
5971			
43561			
2848	1545		
2410	2121	85553	
1876			
7134	3666		
			
			
50695	3666	234837	
			
48366		194043	
15181			
63547			
5789		51051	
5789			
69336		251052	
			
20917		144075	
20917			
7255		36139	
7255			
28172		183566	
			
39543		159783	
7664			
47207			
8061		95710	
6169			
14230			
61437		264019	
			
48581		177742	
12917			
7547			
69045			
4322		41970	
4322			
73367		226023	
			
34828		175649	
8611			
43439			
6530		66080	
6530			
49969		247712	
			
47051		187775	
13637			
60688			
60688		206388	
			
12088	23295	131460	
8287	13792		
6212			
6143			
4302			
3328			
2075			
813			
554			
43802	37087		
18500		109697	
3724			
22224			
			
66026	37087	245839	
			
29397		89296	
5008			
4208			
2012			
687			
41312			
4551	6403	54056	
4749	4771		
2942			
2124			
14366	11174		
55678	11174	146661	
			
23261		101403	
20440			
1270			
701			
419			
46091			
5268		51043	
3681			
8949			
55040		155005	
			
41449		143284	
8790			
50239			
50239		179262	
			
21171		146223	
21171			
7493		44015	
7493			
28664		194932	
			
45444		163239	
15707			
61151			
61151		192063	
			
16562		119032	
16562			
9582		62376	
9582			
26144		186177	
			
52404		187015	
10111			
5868			
68383			
9522		109326	
6070			
15592			
83975		308865	
			
35838		160668	
11019			
46857			
3666		80203	
3563			
7229			
54086		250911	
			
16202	15815	96676	
18237	13038		
5240			
39679	28853		
17438		87547	
17438			
57117	28853	192169	
			
27926		148586	
13184			
41110			
5267		87645	
5267			
46377		243489	
			
12894	26495	154245	
7481	19210		
6178			
6133			
5392			
4810			
1824			
1690			
1593			
1575			
1174			
596			
51340	45705		
13465		98827	
13465			
64805	45705	263932	
			
33605		176642	
33605			
3682		74237	
3682			
37287		258723	
			
28058		120684	
4653			
3676			
3256			
39643			
6354	7024	83395	
8231	4565		
5682			
432			
20699	11589		
		5354	
60342	11589	212651	
			
35350		112456	
35350			
9710		49309	
9710			
45060		165645	
			
10667		86053	
10667			
10667		95611	
			
23346		171059	
5996			
3981			
33323			
6260		41222	
6260			
39583		217014	
			
32917		145348	
10400			
43317			
5864		82977	
5864			
49181		237187	
			
29523		146653	
29523			
7301		99288	
1370			
8671			
38194		251636	
			
6938	10766	85114	
4715	9653		
2372			
2064			
884			
482			
395			
342			
286			
201			
189			
18868	20419		
3706		30252	
2104			
5810			
24678	20419	117375	
			
18233	15628	89606	
5810	7824		
5575			
4745			
3926			
3638			
2200			
935			
45062	23452		
			
4409	5309	52448	
4632	4287		
3710			
12751	9596		
57813	33048	144778	
			
14559		105626	
4212			
1105			
19876			
6040		52894	
3454			
2171			
11665			
		37	
31541		165179	
			
11858	21472	165405	
12208	17378		
10786			
5114			
4025			
2156			
1930			
1558			
1479			
1225			
1110			
984			
54433	38850		
9869		62143	
9869			
64302	38850	233832	
			
1837481	233429	7664208	
			
480558	631812	4440137	
627731	480126		
187900			
50569			
23177			
18143			
7225			
6671			
4674			
1406648	1111938		
			
174772	148940	3194927	
128746	87365		
113935			
80034			
497487	236305		
			
			
			
			
			
			
			
1904135	1348243	7864822	
			
			
			
			
3881		60611	
1944			
5825			
5825		245528	
			
			
			
			
			
			
			
			
			
			
			
			
			
		2971	
		2824	
		248545	
			
			
			
			
		259547	
			
			
			
			
			
		245277	
			
5825		998897	
			
160359		657608	
80915			
			
			
			
			
			
			
			
			
241274			
			
			
		7172	
		1	
241274		1006901	
			
36863		208600	
359			
37222			
7623		67543	
334			
7957			
		8302	
		4065	
		1153	
		268	
379			
379			
45558		289931	
			
45558		289931	
			
36902		207848	
498			
37400			
6358		72898	
2084			
331			
8773			
		5924	
		2511	
		2452	
		877	
		252	
412			
412			
46585		292762	
			
3957		11512	
3187			
1			
1			
1			
1			
1			
1			
1			
7151			
143		2131	
59			
1			
203			
		3276	
		1927	
		312	
		12	
7354		19170	
			
7354		19170	
			
			
		8308	
		617	
		356806	
			
		443	
		309222	
			
		806	
		318936	
			
26879		199292	
3081			
29960			
5830		150190	
1005			
6835			
		564	
36795		350046	
			
		5500	
		388	
		348111	
			
21808		211278	
10991			
32799			
		666	
32799		323893	
			
37369		222983	
9668			
47037			
		914	
47037		381909	
			
23018		226847	
8006			
31024			
		10180	
		5985	
		805	
31024		351187	
			
		376	
		301658	
			
		9855	
		527	
		366444	
			
11600		117902	
6866			
18466			
		3806	
		3027	
		2195	
		1919	
		788	
18466		332243	
			
166121		3740455	
			
167906		1785542	
59117			
17341			
12116			
256480			
		6587	
256480		3802196	
			
			
33670		177025	
67185		151187	
20844			
10582			
10279			
4134			
3062			
149756		328212	
			
39620		216144	
23902			
15463			
5143			
4861			
2796			
1939			
1396			
2542			
56631		141591	
4066			
158359		357735	
			
79632		184826	
39956		117465	
8130			
5806			
3373			
2289			
139186		302291	
			
68603		177446	
45693		116438	
7108			
121404		293884	
			
60774		154749	
27130		78940	
11581			
2958			
102443		233689	
			
83186		191066	
49406		117512	
11894			
4693			
149179		308578	
			
86436		186661	
29602		129725	
18075			
14267			
7966			
4101			
1387			
161834		316386	
			
124692		298368	
26791		76212	
10340			
5573			
4367			
2688			
1387			
175838		374580	
			
66220		180204	
37083		121886	
10942			
7144			
5269			
4165			
130823		302090	
			
72868		192034	
27616		76105	
8376			
6624			
3659			
119143		268139	
			
51047		163036	
36173		115381	
19934			
14026			
4292			
3025			
128497		278417	
			
1536462		3364001	
			
772058		1855493	
417141		1213924	
79727			
31817			
25983			
25793			
19535			
15005			
1387059		3069417	
			
			
36107		133809	
36107			
49203		80342	
49203			
85310		214151	
			
35008		158206	
4711			
2495			
42214			
22563		68560	
13668			
10514			
46745			
88959		226766	
			
66745		108199	
66745			
12359		92238	
6671			
4104			
23134			
89879		200437	
			
264148		641354	
			
163891		399898	
41118			
205009			
88510		240787	
88510			
		19517	
293519		660202	
			
			
65700		200423	
278			
65978			
16265		158414	
27			
16292			
		6054	
7			
7			
3			
3			
		167	
82280		365058	
			
43171		265422	
13081			
2365			
1163			
46			
59826			
32813		124683	
158			
32971			
4			
4			
1			
1			
		787	
		6	
92802		390898	
			
19755		217712	
27			
19782			
35668		121713	
148			
35816			
12			
12			
11			
11			
		339	
55621		339764	
			
34525		235257	
115			
34640			
19144		80787	
200			
19344			
13			
13			
20			
20			
		9277	
		467	
54017		325788	
			
89370		250335	
535			
89905			
9266		118478	
13			
9279			
5			
5			
3			
3			
		851	
99192		369664	
			
73376		223460	
15821			
75			
89272			
11285		135921	
18			
11303			
3			
3			
1			
1			
		364	
100579		359745	
			
46987		201720	
252			
47239			
16053		157524	
19			
16072			
6			
6			
4			
4			
		405	
		20	
63321		359669	
			
64689		198874	
251			
64940			
11513		156287	
19			
11532			
6			
6			
1			
1			
		303	
76479		355464	
			
624291		2866050	
			
185265		1547104	
424			
185689			
197928		1380126	
179557			
132786			
71871			
244			
582386			
		62240	
		16455	
		3373	
		70	
		43	
118			
118			
109			
109			
768302		3009411	
			
73153		166452	
1393			
74546			
16259		57573	
177			
16436			
		8442	
		4963	
		3775	
		416	
90982		241621	
			
90982		241621	
			
73516		185250	
5080			
2873			
279			
81748			
9173		53019	
4630			
3047			
222			
17072			
		6176	
		417	
98820		244862	
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
