PRIMARY	RUNOFF	GENERAL
		42971
		22236
		89487
		79
		78
490958		7443992
		123774
		
		
		81
		605121
20663		205281
15697		
9591		
18065		
65073		975220
		884987
		291770
10609		26383
55622		
33578		
31223		26919
4936		
8920		
82173		
		8730
		27
		9
37094		170275
20805		186014
8577		
96314		
		69
25966		320067
		3
		515657
86290		33740
88931		
3479		
7189		
2352		
55551		
		84
		8
67934		284732
		67956
		40958
		480085
70489		296608
28704		
79674		
1477		
6656		
75671		
46398		689370
45822		
84262		
703545		735878
		5
		5
		285938
28925		69316
69910		
71727		
19858		194121
		4489
		144729
44557		30516
6190		
69675		
		16
84613		40398
		8
		559547
		
		
		684202
		3492
		472403
		
61267		91226
7242		
47120		
43750		432416
		206774
372403		1775874
61048		98373
47025		
90138		83589
40395		
97547		351273
75065		39586
19064		
36674		18921
49271		
48659		230765
57993		770747
93117		
28734		25183
39759		
59449		197888
18835	32738	107619
83127	79822	
2574		
75314	30789	
7422		24663
8485		
		28
70210	40817	766439
99349		832370
77697		
		48
11231		252486
91279		582149
40354		
76335		
29422		88522
98344		
74598		800785
60820		710143
10710		
71897		44662
81441		
89571		489114
98847		20250
62197		
22011		28701
4175		
70935		
68369		162347
83583		785215
17286		
60673		42570
5614		
89717		
		2
53387		748657
40247		887983
30999		
16130		44017
93840		
83384		296184
80331		516998
10342		
83793		61271
23819		
		7
29945		362481
24257		82459
92799		
56520		10157
93340		
10672		627456
63263		902053
98968		
52579		
72933		15970
98897		
62077		561341
268555	40856	2070803
50987		52877
732		
40952		
546		
216		
		7701
70906		28252
40404		66519
949753		170740
504931		
669244		
80254		
3037		
7875		
3565		
1205		
6341		
23935		
788		9738
739		
499		
656		
378134		311516
86829		837502
61414		
306847		
2218		56620
3580		
4482		
293464		564399
44949		505205
67972		
94008		
15133		
50540		
1741		
3040		
4697		
1761		
3833		
621742		
9980		56222
3172		
23856		
401		
308		
398237		971390
977810		623647
51298		186611
74977		
51557		
51449		
5799		
8937		
77719		
80175		908548
8939		
56588		
		5929
		2178
		7361
32043		375574
15176		859263
23982		
15600		77336
37500		
		6222
		3274
71137		134279
940321		817801
42997		396867
57345		
300010		
5216		57904
7352		
907373		548815
50399		294859
80654		
3524		90612
4732		
6599		
92		1694
84		
22222		383840
68909		448825
30859		
89822		
95160		
81606		12547
8424		
2		
56682		
41127		375447
39912		35990
42456		
9804		37867
8305		
90025		19874
34492		935868
5080		
4384		
27915		
3954		67540
4159		
		11
26140		728672
50239		68294
60552		
83856		32253
54825		
3476		
81345		
		4
41266		853711
57265		134076
1994		
7355		
25445		
1384		54842
4136		
		4
45850		324029
38815		99571
56484		
92037		10280
36310		
2589		
3910		
6814		
476		
88780		
		3277
		3
62177		551998
98930		478254
35880		
18683		45156
1829		4
41928		
43489		571275
99961		605531
76		
48825		
21676		81525
8178		
37574		
		2
81727		702305
76315		805008
14599		
45126		62377
73194		
		7
76940		145463
25400		654108
3756		
40743		
		4
20475		651502
43700		874730
93829		
45382		
41385		67909
32855		
56208		
		6
27573		507992
55683		141540
36767		
48081		32635
2703		
83722		
76099		441276
32485		837250
99494		
66989		72054
64834		
86501		709523
90440		464419
80360		
79111		21568
42192		
		2999
49565		945506
67970		
71680		
41217		22333
48525		
3994		
48710		
80950		507247
