PRIMARY	RUNOFF	GENERAL 		
16496				
		2154		
30976		204002		
				
16022		62840		
2409				
18431				
2436		19538		
2436				
		1508		
		910		
20867		84796		
413138		2121584		
				
32173		112707		
32173				
32743		104543		
32743				
64916		217250		
				
33021		94053		
5913				
38934				
26321		75709		
26321				
65255		169762		
				
44967		120057		
44967				
23301		90621		
9372				
32673				
77640		210678		
207811		597690		
				
11557		78300		
7774				
6312				
25643				
1358		19423		
301				
191				
1850				
		125		
27493		196164		
				
		1258		
		30		
		168097		
				
21915		109039		
2231				
24146				
		0		
		67		
24146		183087		
				
11194		69323		
8241				
3192				
14				
22641				
		0		
		52		
22641		176253		
				
19394		66564		
6258				
25652				
4489		36861		
2862		798		
7351				
		53		
33003		114583		
				
		72		
		96994		
				
		1038		
		41		
		88471		
				
		93		
		130928		
				
		65		
		110205		
				
21846		95485		
9733				
34				
31613				
		82		
31613		104839		
				
		44		
		115199		
				
		59		
		73165		
				
9631		55821		
4476				
10				
14117				
		929		
		72		
14117		126798		
				
33499		98953		
6799				
176				
40474				
4107		32065		
1754				
680				
32				
6573				
		142		
47047		143042		
				
26101		83633		
11834				
6444				
2703				
2634				
1210				
142				
51068				
		0		
		938		
		2647		
		257		
51068		113686		
				
		38		
		64438		
				
3730		29792		
3573				
7303				
		82		
7303		130881		
				
		67		
		186099		
				
19483		88734		
8614				
28097				
		516		
28097		209238		
				
		99		
		237352		
				
		150		
		210791		
				
		73		
		187421		
				
16311		73646		
15660				
31971				
		115		
31971		173091		
				
		4185		
		292		
		191700		
				
		178		
		208734		
				
		49		
		205805		
				
		10		
		195415		
				
		41		
		157947		
				
				
		5642		
		527		
		198940		
				
				
		87767		
		13028		
		5112		
		74021		
		6459		
		186387		
318499		4685750		
				
				
				
234440		1239605		
188628				
423068				
		42341		
		24871		
		1281		
423068		4596796		
				
				
				
464512		2479393		
145491				
610003				
185483		1338308		
167151				
91312				
443946				
		35489		
		18414		
		17019		
		11787		
		4516		
		1169		
1053949		4508771		
				
46509		103294		
17262				
63771				
3774		70867		
2220				
1252				
1097				
8343				
72114		174161		
				
9171		93876		
4280				
3190				
16641				
16641		189774		
				
21551		143225		
4221				
2261				
28033				
28033		199304		
				
10449		116448		
9228				
1967				
1077				
22721				
22721		271832		
				
38174		140525		
9639				
47813				
47813		213287		
				
31663		156252		
7929				
7553				
1468				
1095				
168				
49876				
49876		207759		
				
17177		98328		
11629				
4862				
33668				
33668		212285		
				
24541		88776		
14600				
39141				
8567	9261	73129		
9548	5928			
4757				
2141				
466				
428				
25907	15189			
		240		
		199		
65048	15189	167442		
				
		230240		
				
27657		130813		
11392				
3604				
1181				
43834				
9621		52972		
9277				
18898				
62732		183785		
				
26223		131225		
16507				
42730				
14059		110246		
11949				
4103				
2777				
1254				
791				
34933				
77663		241471		
				
4787	1449	55315		
5506	1352			
3656				
13949	2801			
13949	2801	162007		
				
5738	3807	93099		
5603	2655			
4749				
1515				
17605	6462			
17605	6462	209202		
507863	24452	2662549		
				
				
297993		1458046		
37616				
22111				
14248				
371968				
154605	95390	1145074		
115851	63691			
72510				
35984				
29738				
16655				
425343	159081			
		1198		
		64		
		10		
797311	159081	2660079		
				
54662		129802		
6441				
83				
2				
1				
1				
61190				
28329		106542		
75				
28404				
75				
3				
2				
2				
1				
1				
1				
1				
1				
1				
1				
1				
1				
1				
1				
1				
1				
1				
1				
1				
1				
1				
1				
1				
102				
		793		
89696		237137		
89696		237137		
				
				
65075		181689		
130				
65205				
26258		52955		
91				
4				
26353				
535		3890		
13				
548				
		278		
92106		238812		
				
		4852		
		2744		
		2049		
		1707		
		11352		
		11352		
				
33544		103770		
33544				
20628		92672		
4241				
24869				
124		3076		
93				
217				
46		2000		
46				
58676		201518		
				
36214		139027		
13007				
5235				
4225				
58681				
10342		82431		
9388				
5404				
25134				
227		16259		
227				
		128		
84042		237845		
				
50317		152629		
8267				
58584				
25365				
25365				
83949		224084		
				
				
2561				
2123				
1077				
5761				
5761				
				
56093		146029		
56093				
18250		50533		
18250				
123		7708		
123				
74466		204270		
				
42827		140703		
8754				
51581				
18442		54919		
18442				
277		11831		
277				
70300		207453		
				
14103		103170		
12406				
6637				
33146				
34772		92823		
15674				
50446				
54		5077		
54				
93		4505		
93				
83739		205575		
				
46072		135721		
9535				
55607				
12780		70400		
10760				
4010				
27550				
230		9381		
230				
109		2811		
109				
83496		218313		
				
50555		142731		
6266				
2890				
59711				
18118		65883		
18118				
239		5121		
239				
96		3701		
96				
78164		217436		
				
33637		121819		
5256				
38893				
207				
183				
390				
20675		83423		
8348				
29023				
68306		205242		
				
47976		101343		
47976				
16678		83809		
5275				
21953				
292		5874		
292				
70221		191026		
				
47773		139693		
5385				
2783				
55941				
237		28754		
237				
56178		168447		
				
53632		150163		
8442				
62074				
37802		110307		
37802				
349		8710		
225				
574				
20				
20				
100470		269180		
				
37460		118806		
9706				
47166				
24757		94367		
2278				
2221				
1761				
1704				
607				
33328				
80494		213173		
				
39190		149878		
39190				
19013		72604		
5737				
5704				
30454				
231		8383		
231				
69875		230865		
				
39963		119471		
5894				
2708				
48565				
36435		91077		
36435				
629		6116		
629				
171		3887		
157				
328				
		45		
85957		220596		
				
30358		114652		
24322				
5048				
1919				
61647				
31507		90833		
31507				
116		14585		
116				
		67		
93270		220137		
				
48750		102758		
7520				
5638				
61908				
12922		57352		
5097				
18019				
16				
16				
		30556		
79943		190666		
				
11037		107426		
10881				
10013				
8204				
6288				
4065				
1318				
894				
52700				
28743		80756		
28743				
31		11246		
31				
		20		
81474		199448		
1403020		3825274		
				
				
667369		2168742		
667369				
380189		1503297		
304026				
684215				
1834		65856		
1834				
		50101		
383		26454		
383				
		648		
1353801		3815098		
				
38673		151173		
10394				
8871				
1737				
1421				
1213				
62309				
		45656		
62309		196829		
				
66439		108203		
21496				
87935				
8161	7492	83226		
6886	3645			
3863				
2785				
1527				
1095				
24317	11137			
112252	11137	191429		
				
		207616		
				
9593				
42182				
42182				
				
18760	29817	123236		
18147	15902			
10008				
5956				
1548				
762				
686				
55867	45719			
21143		68074		
16063				
37206				
		2728		
		3067		
93073	45719	197105		
309816	56856	792979		
				
				
223997		718482		
15093				
8812				
247902				
157955		265814		
83715				
241670				
		25048		
		7807		
489572		1017151		
				
61439		160357		
14102				
383				
75924				
21441		122858		
14785				
14464				
1213				
299				
52202				
		392		
128126		292909		
				
74970		206245		
818				
75788				
37609		72173		
971				
38580				
		619		
114368		279037		
				
73962		193104		
6774				
337				
81073				
20007		67714		
482				
20489				
80				
				
63				
93				
9				
245				
		407		
101807		275802		
				
74568		162416		
1677				
76245				
49401		129877		
12495				
512				
62408				
		544		
418				
288				
30				
4				
740				
139393		298052		
				
57282		145319		
945				
58227				
37778		130313		
22616				
235				
60629				
		367		
237				
211				
29				
4				
481				
119337		283556		
603031		1429356		
				
333652		825507		
25152				
9985				
3782				
372571				
110450		566199		
39753				
36760				
31859				
24602				
14637				
4417				
2363				
264841				
		18940		
		14466		
		1448		
637412		1442588		
				
48505		149944		
48505				
48505		149944		
				
72417		182800		
72417				
3781		21907		
3781				
76198		204707		
				
15428		111909		
14474				
7486				
6499				
5838				
5151				
54876				
34932		88924		
12764				
47696				
102572		200833		
				
53019		120827		
53019				
34996		116958		
17701				
52697				
105716		237785		
				
52856		127427		
52856				
31120		52375		
31120				
		5710		
83976		185512		
				
35575		133770		
8998				
44573				
21585		100493		
20871				
42456				
87029		234263		
				
48604		137825		
48604				
39206		110314		
39206				
		2708		
87810		250847		
				
33671		130759		
6529				
2424				
1249				
43873				
40783		113547		
40783				
84656		244306		
				
56828		141904		
56828				
56828		194226		
				
24435		110599		
18524				
16690				
59649				
38928		89846		
38928				
98577		200445		
				
28397		102179		
28397				
33900		84618		
23267				
11519				
68686				
97083		186797		
				
58817		94056		
16965				
6525				
82307				
26577		91170		
20078				
46655				
128962		185226		
				
44402		118710		
44402				
14416		91987		
8334				
7293				
30043				
74445		210697		
				
71511		122073		
71511				
11585		49997		
11585				
		5400		
83096		177470		
				
31618		109534		
6514				
38132				
32825		79766		
32825				
		15248		
70957		204548		
				
50629		134113		
50629				
24541		70994		
24541				
75170		205107		
				
30630		118486		
16296				
46926				
20712		95000		
19890				
14955				
8503				
64060				
110986		213486		
				
47785		161888		
47785				
58081		78558		
58081				
105866		240446		
				
51792		165219		
22210				
74002				
33283		53549		
33283				
		10988		
107285		229756		
1685717		3956401		
				
				
671591		2028945		
153154				
824745				
568563		1948716		
487217				
1055780				
1880525		3977661		
				
21142		81269		
13112				
11397		13		
11161				
56812				
6497		71542		
1301				
7798				
		6424		
		1334		
		9		
		6		
		6		
64610		160603		
				
25603		104442		
15146		24		
3833				
44582				
5674		55409		
2233				
1468				
965				
10340				
		14584		
		5		
54922		174464		
119532		335067		
				
25457	46989	152755		
13149	21799			
11665				
8521				
7192				
6769				
3849				
3237				
1006				
80845	68788			
10566		67008		
8402				
18968				
		163		
99813	68788	233695		
				
64973		138861		
12923				
77896				
		102		
77896		259672		
				
19051	37352	126235		
20923	35185			
16071				
15503				
6787				
4216				
82551	72537			
10551		66497		
5639				
16190				
		96		
98741	72537	202108		
				
34103	54412	137586		
23877	22590			
11854				
11073				
6041				
86948	77002			
		181		
86948	77002	216838		
				
		156		
		228286		
				
50138		125459		
5527				
55665				
15709	13689	72661		
13487	13578			
2911				
32107	27267			
		81		
87772	27267	199590		
451170	245594	1340189		
				
342464		810771		
70194				
412658				
100362		364598		
69853				
170215				
		21953		
582873		1318794		
				
34527		153703		
28380				
19134				
82041				
		19134		
82041		319426		
82041		319426		
				
		227947		
				
78862		123006		
3546				
82408				
9012		26045		
9012				
		3110		
91420		152161		
				
92414		141796		
92414				
9778		25400		
9778				
		2497		
		1993		
		1185		
		509		
102192		173380		
				
26869		92032		
25454				
14274				
10492				
5149				
4552				
1259				
739				
670				
655				
440				
90553				
7006		45387		
4530				
3814				
2647				
3				
18000				
		17077		
		5773		
		811		
		380		
		380		
		216		
108553		162056		
				
27812		103969		
20420				
11413				
9237				
5992				
74874				
41573		70254		
41573				
		3178		
		2159		
		1714		
		917		
116447		182191		
				
28660		99162		
2214				
1213				
32087				
11933		74204		
10009				
9767				
3158				
2375				
1530				
1385				
1212				
1129				
562				
319				
43379				
		584		
		533		
		444		
		396		
		391		
		333		
		159		
		156		
75466		176362		
				
24374		128517		
24091				
23808				
3974				
2482				
695				
465				
79889				
9430		56145		
9208				
8917				
2777				
817				
31149				
		2157		
		1296		
		1270		
		1103		
		596		
111038		191084		
				
97088		158916		
97088				
23235		54347		
23235				
		6320		
120323		219583		
				
35024		98759		
17637				
17308				
1546				
720				
4		9		
72239				
27139		64960		
12971				
40110				
		2440		
		1237		
112349		167405		
				
63402		99827		
17153				
80555				
13295		33879		
7165				
1199				
21659				
		673		
		528		
102214		134907		
940002		1559129		
				
54478		129398		
54478				
				
54478		144209		
				
39685		130020		
39685				
39685		146731		
				
40661		101180		
40661				
5306		47848		
5306				
		22		
45967		152652		
				
39579		136338		
20496				
3748				
3190				
1044				
947				
69004				
13783		40975		
13783				
		4244		
82787		186286		
				
49295		106742		
49295				
17262		41649		
17262				
66557		151349		
				
46095		107140		
46095				
8743		50717		
8743				
54838		162557		
				
43567		143655		
43567				
				
		1019		
43567		176378		
				
52595		161417		
8614				
3542				
1565				
66316				
15030		34694		
15030				
81346		201099		
				
21465		80107		
21465				
4629		24201		
2317				
6946				
28411		105767		
				
46881		144980		
5038				
4656				
56575				
15373		74086		
15373				
71948		224171		
				
55610		125581		
9586				
6680				
71876				
8378		23989		
8378				
		1449		
80254		155340		
				
40325		109882		
10943				
6361				
57629				
6849		38434		
6849				
				
64478		152917		
				
59070		113201		
59070				
		11192		
59070		130043		
				
45990		140623		
5499				
3004				
2448				
56941				
6842	1575	44431		
5112	1309			
4498				
16452	2884			
73393	2884	185054		
				
37430		53546		
7282				
44712				
4201	1558	39964		
5401	1187			
3310				
12912	2745			
				
57624	2745	96080		
				
26066		49301		
26066				
9817		31051		
9817				
		221		
35883		84892		
				
21479	21913	106696		
18679	11730			
11870				
9853				
3119				
65000	33643			
11244		63138		
11244				
76244	33643	172642		
				
21570		85108		
9133				
1508				
32211				
5188		33067		
2743				
1199				
9130				
		28		
41341		121321		
				
63780		106059		
63780				
8256		25984		
8256				
72036		136358		
				
16935		58645		
16935				
3838	2430	31757		
3510	957			
2479				
1997				
11824	3387			
28759	3387	92185		
				
61923		162924		
14166				
76089				
14773		65927		
14773				
90862		236545		
				
43418		140537		
43418				
7467		62082		
3956				
2858				
14281				
				
		66		
57699		208223		
				
9250	7210	74853		
9695	6488			
6369				
1990				
1459				
28763	13698			
34104		67348		
6799				
40903				
		5432		
				
		1419		
69666	13698	151534		
				
33283		100078		
6298				
39581				
39581		122687		
				
29949		99967		
29949				
23955		84849		
10541				
34496				
				
64445		189247		
				
44047		120984		
7284				
51331				
7450		55385		
7450				
58781		180431		
				
5921	4742	51001		
6368	4496			
4268				
3097				
19654	9238			
21948		50226		
21948				
41602	9238	106599		
				
48634		62773		
48634				
13629		46740		
4792				
18421				
				
67055		111402		
				
9567		43257		
9567				
4137		22825		
1514				
657				
474				
307				
7089				
16656		66948		
				
23725		86322		
23725				
3681	2126	24668		
2809	1023			
944				
7434	3149			
31159	3149	113978		
				
52321		126384		
5910				
58231				
58231		153119		
				
30509		79433		
5937				
36446				
7461		44258		
7461				
43907		126869		
1798310	68744	4745613		
				
				
		195462		
				
23067		127151		
11227				
34294				
				
				
		2391		
		1726		
34294		251847		
				
		1604		
		193186		
34294		640495		
				
				
98512		390179		
93905				
				
				
				
				
				
				
192417				
				
		20		
		6		
		2		
192417		633829		
				
65920		154006		
913				
66833				
10797		76403		
9631				
3545				
659				
24632				
141				
141				
		4704		
		3222		
		186		
91606		238521		
91606		238521		
				
64515		151281		
7892		3544		
175				
72582				
22750		72699		
1176				
23926				
171				
171				
		2731		
		2356		
		1433		
		1021		
		113		
96679		235178		
				
28956		135564		
3963				
32919				
		2544		
		304		
32919		212236		
				
14396		88340		
9762				
6342				
2950				
1620				
1372				
36442				
		7194		
		164		
36442		166289		
				
		2383		
		2039		
		171		
		163900		
				
		432		
		198389		
				
17120		119560		
9153				
3460				
2608				
1626				
802				
583				
35352				
		4992		
		185		
35352		235299		
				
		21649		
		15309		
		2709		
		167154		
				
		15164		
		413		
		233402		
				
7136		71145		
6654				
13790				
		2707		
		492		
13790		190748		
				
				
				
				
				
				
				
		4282		
		166		
		186917		
				
		4607		
		229		
		208556		
				
20075		110739		
15815				
35890				
		1846		
		1382		
		959		
		305		
35890		226951		
154393		2189841		
				
		5063		
		419		
		1		
		1		
		1		
		1		
		1		
		1		
		1		
		1		
		1		
		1		
		1		
		27666		
		27666		
				
90208		172642		
44269		126737		
20185				
6864				
161526		299379		
				
73734		155241		
74032		148722		
10548				
9566				
7627				
175507		303963		
				
46001		152799		
51895		135654		
22621				
19995				
18453				
6309				
165274		288453		
				
82909		156726		
31782		74973		
9826				
9214				
4270				
3136				
141137		231699		
				
106191		177235		
21091		101146		
15538				
10787				
10635				
5569				
169811		278381		
				
90596		151873		
45959		109800		
23410				
159965		261673		
				
110914		232649		
8860		47741		
6135				
4999				
4781				
3220				
138909		280390		
				
76118		161296		
43272		148581		
15313				
9376				
8291				
3405				
2648				
1761				
987				
161171		309877		
				
63866		123743		
32116		101851		
24509				
4159				
124650		225594		
1397950		2479409		
				
670284		1314930		
483305		1196164		
185034				
37231				
12122				
11525				
11344				
9162				
6545				
6019				
4718				
4593				
3387				
2818				
2039				
1450126		2511094		
				
14783		90660		
11353				
8994				
3636				
2110				
1533				
42409				
36135		89220		
28500				
64635				
107044		179880		
				
27958		126814		
27958				
29579		55001		
29579				
		3431		
57537		185246		
				
44929		83636		
21620				
66549				
5056		65611		
4623				
4238				
2906				
16823				
83372		149247		
				
247953		514373		
				
				
68827		283358		
16267				
9108				
94202				
38568		230013		
8015				
1546				
1389				
1312				
1207				
937				
475				
459				
176				
54084				
223		10152		
223				
		6425		
148509		529948		
				
76542		179819		
241				
76783				
18657		79363		
59				
18716				
46		4311		
2				
48				
		134		
7				
7				
95554		263627		
				
38041		191164		
76				
38117				
24885		118099		
22783				
73				
47741				
		197		
8				
8				
3				
3				
85869		309460		
				
24514		126380		
51				
24565				
41216		116838		
12312				
42				
53570				
		8001		
		121		
7				
7				
3				
3				
78145		251340		
				
33107		143559		
6430				
52				
39589				
14077		61543		
11164				
111				
25352				
		2802		
		199		
10				
10				
6				
6				
64957		208103		
				
119713		229642		
534				
120247				
18242		90634		
51				
18293				
		10813		
		169		
6				
6				
5				
5				
138551		331258		
				
77992		183271		
280				
78272				
17405		75926		
31				
17436				
		170		
4				
4				
0				
0				
95712		259367		
				
41032		132551		
21075				
25				
62132				
28585		113018		
4920				
16				
33521				
		8397		
		423		
11				
11				
4				
4				
95668		254389		
				
38521		143998		
25704				
14107				
1968				
36				
80336				
23307		118646		
44				
23351				
		294		
6				
6				
3				
3				
103696		262938		
758152		2140482		
				
504644		1125999		
61633				
28929				
601				
23		134		
595830				
223688		1020958		
746				
224434				
		23473		
		638		
		129		
70				
70				
42				
42				
820376		2171331		
				
84063		131661		
17148				
289				
101500				
20410		45768		
198				
20608				
		287		
122108		186969		
122108		186969		
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
