PRIMARY	RUNOFF	GENERAL 		
27146		114489		
18792				
45938				
16679		66706		
14254				
2278				
33211				
339		10840		
339				
79488		192035		
				
22574		85799		
6144				
2848				
1955				
33521				
9894		29159		
9894				
		10560		
43415		125518		
				
22447		85459		
22447				
10324		30883		
17				
10341				
32788		116342		
				
23125		81590		
23125				
17062		42037		
17062				
342		5334		
342				
40529		128961		
				
55351		119455		
55351				
25518		59400		
25518				
80869		178855		
				
42462		127857		
21607				
64069				
30159		74394		
30159				
		35		
94228		202286		
				
32669		127161		
25181				
7113				
2041				
67004				
23366		65122		
23366				
371		12115		
371				
90741		204398		
				
18529		70026		
18529				
13232		36890		
13232				
31761		106916		
				
37327		107482		
18994				
56321				
27283		85784		
27283				
83604		193266		
				
42981		106472		
17940				
60921				
33235		87141		
33235				
951		13188		
951				
95107		206801		
				
67156		139822		
67156				
19735		84940		
13875		20		
33610				
100766		224782		
				
17409		50832		
17409				
10706		37679		
5017				
3876				
19599				
		7443		
37008		95954		
				
72658		145481		
72658				
30818		88465		
30818				
568		8773		
568				
104044		242719		
				
60447		119088		
60447				
25948		59714		
25948				
1141		6585		
1141				
395		4290		
395				
87931		189677		
				
72605		142247		
72605				
29926		97818		
15370				
45296				
587		5546		
587				
68		5470		
68				
118556		251081		
				
40628		86423		
40628				
27286		57488		
27286				
		5		
67914		143916		
				
72506		139460		
7355				
79861				
24639		70870		
9936				
34575				
548		10732		
548				
114984		221062		
				
42976		104800		
42976				
10780		57230		
7251				
6751				
6527				
31309				
506		6298		
506				
74791		168328		
				
4274547		9647873		
				
				
1957920		5218137		
338442				
123573				
2419935				
1315429		4217386		
504289				
452577				
42149				
19598				
2334042				
17791		175235		
17791				
4070		135088		
4070				
19983		128512		
19983				
16704		125435		
14170				
11423				
42297				
		41		
		11		
		10		
		5		
4838118		9999860		
				
57527		140073		
57527				
13970		59747		
13970				
216		2867		
147				
363				
71860		207751		
				
47347		148768		
47347				
23439		98194		
10353				
33792				
		7		
81139		259116		
				
39346		131227		
31214				
70560				
46148		121114		
46148				
		5018		
		23		
		11		
116708		263138		
				
57358		138634		
57358				
33982		109249		
33982				
		3986		
91340		264181		
				
60906		152829		
60906				
20814		68039		
20814				
81720		232434		
				
81067		217400		
81067				
37950		104159		
37950				
		7		
119017		331037		
				
40534		112667		
40534				
26765		88026		
14835				
41600				
82134		210810		
643918		1768467		
				
184714		854685		
156419				
341133				
211099		824789		
198231				
409330				
1186		22646		
1075				
2261				
		19450		
		11351		
		5780		
		52		
		20		
		11		
752724		1777668		
				
		7902		
11438		84076		
7791				
				
19229				
		2564		
		955		
		3		
19229		226038		
				
		6860		
11344		95671		
9872				
5044				
				
26260				
		3344		
		27		
		19		
26260		246809		
				
		9021		
				
				
		2984		
		5		
		220661		
				
		4605		
16494		102030		
6578				
4465				
				
				
				
27537				
		10		
27537		217391		
				
		4648		
		2310		
11287		102092		
9267				
8259				
				
				
				
28813				
		20		
		2		
28813		227303		
101839		1138202		
				
		30836		
				
				
		11275		
60479		498341		
34011				
27831				
				
				
122321				
		6735		
		559		
		45		
		45		
		31		
		17		
		15		
		7		
		5		
122321		1153115		
				
27343		125442		
26789				
2082				
56214				
		3704		
		1986		
		961		
56214		305636		
56214		305636		
				
				
30563		123053		
27021				
57584				
		8201		
		2101		
		25		
		10		
57584		307402		
				
116277		117990		
11857				
798				
128932				
1919		8109		
281				
2200				
229		4413		
195				
90				
514				
		1359		
		785		
131646		132656		
131646		132656		
				
		23250		
		18253		
		1202		
		213526		
				
28269		136371		
14483				
6447				
6164				
4965				
60328				
42415		105211		
40017				
82432				
		7135		
		5705		
		16		
142760		254438		
				
35312		94744		
8718				
44030				
8919		50932		
6871				
3718				
