PRIMARY VOTES	RUNOFF VOTES	GENERAL VOTES 		
		22484		
		818090		
				
44740		135445		
35904				
27807				
3246				
111697				
58092		129431		
2024				
60116				
1290		10512		
734				
5191				
		5636		
1869				
4426				
		1376		
181430		282400		
				
		505		
		847505		
				
338324		983891		
338324				
213746		944203		
213746				
		52876		
		29472		
		24151		
		6427		
		21		
		17		
552070		2041058		
				
18181		98823		
5848				
24029				
		4560		
24029		234038		
				
185466	245951	1358088		
156157	237448			
132944				
60735				
58297				
6045				
5711				
605355	483399			
246369		1160811		
39418				
31822				
11101				
328710				
		48862		
		21		
		14		
		9		
934065	483399	2567805		
				
115445		246827		
113663				
4842				
233950				
25874		98006		
4425				
3477				
2033				
35809				
568		8941		
568				
388				
184				
572				
270899		353774		
				
119209		285596		
29939				
149148				
16908		151574		
7378				
24286				
173434		437170		
				
429041		1929637		
429041				
423097		1538522		
331237				
54				
754388				
		135316		
				
		31		
		12		
		1		
1183429		3603519		
				
88535		588575		
28418				
26523				
11884				
2233				
155				
157748				
62600		494370		
545				
63145				
		26815		
		8232		
		5873		
		4724		
		1111		
220893		1129700		
				
127089		460350		
107799				
15288				
14164				
264340				
		368372		
30752				
65819				
330159		866191		
				
213753		806787		
125787				
5338				
3024				
347902				
307821		584698		
32602				
32310				
29791				
402524				
7214		44240		
7214				
		17		
		53		
		9		
		64		
757640		1435868		
				
		1472044		
				
53416		413495		
615				
54031				
47909		190244		
47909				
		269		
101940		604008		
				
402433		1289944		
6986				
409419				
117216		791950		
872				
118088				
		3072		
		6		
527507		2084972		
				
504102		1704936		
504102				
588084		1290199		
588084				
		67		
		6		
		4		
1092186		3121775		
				
182720		1053205		
10627				
193347				
129601		850227		
26714				
16449				
5058				
2840				
180662				
2148		47530		
1376				
1130				
862				
820				
6336				
		881		
380345		1981528		
				
156313	194972	378481		
157728	187249			
4854				
318895	382221			
63548		239439		
10361				
8465				
3492				
85866				
404761	382221	631858		
				
110565		213709		
11909				
10151				
132625				
48665				
17187				
10139				
11				
76002				
208627		369826		
				
108443		347636		
49026				
45952				
12348				
3110				
218879				
2359				
1468				
1386				
492				
200				
5905				
44487		170127		
21483				
65970				
1161				
421				
1582				
		15868		
		6260		
		446		
292336		540337		
				
39282		251184		
363				
245				
127				
123				
4				
4				
2				
2				
0				
40152				
59147		235347		
27252				
26762				
1392				
789				
738				
737				
515				
503				
399				
220				
183				
118637				
		1628		
158789		488159		
				
202129		1043866		
202129				
42728		791297		
38130				
36266				
28183				
145307				
		16721		
		5704		
		4513		
		3890		
		3544		
347436		1869535		
				
113502		286409		
113502				
41566		229097		
24413				
65979				
179481		515506		
				
223174		1423259		
132630				
85727				
22971				
9414				
9258				
3528				
1853				
488555				
372209		1377651		
66903				
43257				
482369				
1226		109100		
794				
2020				
		4307		
		621		
		201		
		142		
972944		2915281		
				
231291		558166		
11960				
11713				
4846				
3965				
263775				
		10554		
		9913		
		7793		
263775		820733		
				
152749		557002		
91854				
12934				
2828				
2427				
2272				
1794				
266858				
71462	54762	237923		
57598	39664			
33943				
163003	94426			
		25965		
429861	94426	820890		
				
277120		814537		
11330				
8436				
4194				
301080				
134627		538847		
101401				
18220				
7602				
6566				
1027				
269443				
		6672		
570523		1461618		
				
98816		223675		
98816				
23787		92684		
23787				
		531		
		8		
122603		316898		
				
178833		672941		
48904				
