PRIMARY	RUNOFF	GENERAL																																																																																																																																																			
26813		59953																																																																																																																																																			
143																																																																																																																																																					
26956																																																																																																																																																					
85487		214338																																																																																																																																																			
50254		129222																																																																																																																																																			
50254																																																																																																																																																					
20411		47992																																																																																																																																																			
20411																																																																																																																																																					
346		5067																																																																																																																																																			
346																																																																																																																																																					
71011		182281																																																																																																																																																			
65809		148958																																																																																																																																																			
6401																																																																																																																																																					
72210																																																																																																																																																					
23139		65117																																																																																																																																																			
7751																																																																																																																																																					
30890																																																																																																																																																					
1656		3645																																																																																																																																																			
1656																																																																																																																																																					
