PRIMARY	RUNOFF	GENERAL 
22289		
		9
22289		301220
		256931
		323163
		367996
		377891
40892		192151
7809		
4519		
53220		
19281		151951
10089		
29370		
82590		361871
20637		209874
19626		
15916		
56179		
56179		349247
		
		242989
		20214
		306036
		261799
		237002
20507		169041
3603		
24110		
24110		309151
31182		172835
4235		
35417		
35417		210306
18672		211284
7137		
25809		
27048		151863
8277		
35325		
61134		369370
		246711
542518		7421172
32470		165890
32470		
32802		83444
32802		
65272		249334
59384		158435
59384		
11430		71351
11430		
70814		229786
55128		225055
55128		
18984		117522
18984		
		3
74112		342580
47439		224494
47439		
		159
		35
47439		224694
36713		231368
8287		
8185		
53185		
		25
53185		231474
30957		231520
30957		
10920		106551
10920		
41877		338071
48668		209354
48668		
13318		128159
13318		
61986		337513
44211		157241
7396		
51607		
25420		117446
25420		
77027		274687
54653		217493
54653		
12596		70537
12596		
67249		288030
44956		177265
18372		
63328		
24001		114638
24001		
87329		291903
29155		204082
29155		
15099		95220
15099		
44254		299302
45235		164562
13955		
59190		
9462		84773
5316		
1908		
16686		
75876		249335
30719		205919
17526		
48245		
11478		92320
11478		
59723		298239
826143		3654948
392902		1867097
392902		
169635	191061	1757393
199026	127993	
79181		
25667		
19717		
493226	319054	
886128	319054	3752485
8716		28247
2904		
25		
11645		
292		
292		
		884
11937		29131
11937		29131
76140		154208
76140		
13088		38115
13088		
396		7594
295		
691		
89919		199917
73822		165748
73822		
12750		44425
12750		
967		4042
967		
427		3699
427		
87966		217914
177885		417831
19449		175898
19449		
41073		171687
27267		
68340		
87789		347585
49586		205777
4900		
3747		
58233		
11578		83878
5074		
16652		
		612
74885		290267
162674		637852
80743		371744
16660		
6532		
5375		
4987		
4280		
2915		
2082		
123574		
29023		219903
11074		
20		3
40117		
163691		644780
134343		233036
19272		
153615		
7987		38361
7987		
161602		271397
149760		251052
149760		
		3
149760		280776
62439		172581
29544		
13312		
10742		
116037		
13722		50336
6804		
20526		
111		12607
111		
136674		235524
63436		112529
63436		
63436		139606
94406		170728
94406		
137		9283
137		
94543		230892
57612		147906
57612		
52690		109007
15767		
68457		
126069		256913
129865		235343
12629		
142494		
		41474
142494		276817
64255		179444
12968		
77223		
29261		116081
11640		
10289		
51190		
128413		295525
98374		181948
13485		
111859		
16587		53593
16587		
164		8140
164		
		13
128610		243694
44967		153082
44967		
75877		138176
17271		
93148		
138115		291258
74194		185652
74194		
32767		
10938		
9206		
52911		
177		22635
177		
127282		317895
91636		212891
91636		
31780		74382
31780		
234		10907
234		
		1
123650		298181
58533		180888
17206		
75739		
85787		147430
85787		
105		9402
105		
		51
161631		337771
32410		185404
32012		
6033		
5865		
76320		
44462		135653
32584		
1847		
78893		
155213		321057
64635		187121
64635		
54898		104393
54898		
119533		291514
65804		190039
65804		
56951		112648
56951		
122755		312220
75567		220961
75567		
		517
75567		221478
55610		182589
13363		
9160		
78133		
		117642
78133		310088
60014		203434
60014		
40773		105338
27700		
68473		
141		
141		
128628		315589
2362108		5248195
1653833		3615844
1653833		
395199		1520621
240548		
74829		
710576		
		1
2364409		5329884
134505		199954
134505		
7278		76647
3940		
3791		
2945		
2170		
20124		
154629		282022
119217		187416
119217		
14327		84455
9073		
5092		
28492		
147709		279346
40161		155693
11946		
52107		
76428		112309
76428		
128535		282879
45538		192526
9541		
8545		
63624		
83638		129038
83638		
147262		321564
45682		234705
39701		
2742		
88125		
46606		123357
29513		
23768		
99887		
188012		358062
46488		180608
46488		
94002		94265
94002		
140490		282412
66659		172650
33683		
29231		
11011		
1125		
708		
648		
240		
143305		
19135		
2574		
921		
22630		
165935		265299
134796		188693
134796		
27147		102769
27147		
161943		291462
99332		181281
23157		
18963		
5429		
146881		
32101		120529
32101		
178982		313804
1413497		2676850
10596		186991
62		
10658		
8865		102439
59		
8924		
		199
19582		289629
21084		175218
231		
21315		
7372		118778
7258		
2258		
