PRIMARY	RUNOFF	GENERAL
		127
		165841
36058		54450
15016		
51074		
		167
51074		178919
		3414
		71
		165301
		206
		183072
		2540
		145555
		2786
		166300
93586		133870
9358		
102944		
		1294
102944		135164
154018		1140152
81089		132743
81089		
19421		93879
16529		
2482		
2141		
40573		
3176		4029
687		
3863		
3620		1819
3620		
		1615
		560
129145		234645
129145		234645
		11033
		11033
297636		814398
155		
297791		
214455		664141
214455		
3311		48231
3311		
		7
		5
515557		1526782
37664		105646
37664		
20273		88691
7062		
5927		
3635		
1512		
38409		
606		9802
606		
76679		204139
51386		135150
51386		
11521		89671
8462		
4667		
24650		
494		5734
		5
494		
76530		230560
35763		112519
35763		
7902		72586
7759		
12		
15673		
322		4744
322		
51758		189849
14833		56464
14833		
7175		18627
7175		
12		2770
12		
22020		77861
20852		101838
20852		
38275		93815
38275		
387		6357
387		
59514		202010
43199		152201
43199		
19		51285
19		
43218		203486
26604		80354
26604		
10022		46498
6565		
16587		
13		4673
13		
43204		131525
33375		137655
19148		
3687		
2855		
1768		
576		
61409		
27063		106790
24119		
8095		
2724		
2075		
64076		
516		4849
516		
		4408
		7
		7
		4
126001		253720
498924		1493150
		184188
12460		81432
3658		
16118		
16118		206303
		200924
		171596
16118		763011
2176888		5076289
199180		
127301		
2503369		
1560472		2990822
1560472		
12821		147074
10318		
4649		160
27788		
16742		133851
16742		
4109		117764
4109		
30787		75350
30787		
		108
		47
		11
4143267		8541476
79138		144409
79138		
41953		63194
41953		
2952		6899
2952		
168		3503
168		
		39
124211		218044
69669		134911
69669		
23663		68234
19311		
43		
43017		
570		7057
570		
113256		210202
56968		135709
56968		
42980		86318
42980		
465		3772
465		
83		2370
83		
100496		228169
63731		135818
31162		
94893		
26241		126999
19038		
11405		
56684		
672		14076
672		
152249		276893
52951		105676
52951		
19005		35106
19005		
720		6466
720		
186		2018
186		
72862		149266
72058		173190
36845		
11		
108914		
19448		64405
14445		5
33893		
659		9028
659		
143466		246628
57308		118000
57308		
333		22486
333		
57641		140486
77976		148435
77976		
7260		19800
2319		
9579		
2647		13653
2647		
381		2751
381		
90583		184639
97874		167245
97874		
9350		20786
9350		
318		5655
318		
107542		193686
60669		130859
60669		
33198		66069
33198		
		50
93867		196978
23598		109868
12744		
8390		
44732		
35493		96396
18132		
3263		
56888		
1		
1		
101621		206264
61510		138650
6973		
5401		
73884		
8068		43674
7098		
4002		
19168		
30		
30		
93082		182324
54654		110756
54654		
15788		37141
15788		
70442		147897
65255		141153
65255		
28011		48097
28011		
676		4692
676		
1134		4633
1134		
95076		198575
49400		115532
49400		
23693		44186
23693		
73093		159718
46286		98929
46286		
19886		37130
19886		
66172		136059
54998		120750
54998		
23703		35932
23703		
		2611
78701		159293
31088		71182
31088		
19851		37531
19851		
50939		108713
54722		110246
54722		
35278		71748
35278		
90000		181994
24356		61120
24356		
472		
472		
24828		61120
43364		95214
43364		
24927		42718
24927		
239		4729
239		
68530		142661
63399		133278
5995		
4637		
74031		
31966		55226
31966		
105997		188504
53503		114661
53503		
21444		61272
14512		
35956		
		18
89459		175951
51923		129812
12903		
64826		
36619		79461
36619		
		16
		3
101445		209292
36291		93987
36291		
23203		55913
23203		
316		6873
316		
59810		156773
29569		102028
12186		
3826		
45581		
14380		67878
11498		
4695		
30573		
305		5887
305		
451		3351
451		
76910		179144
35563		92650
35563		
17065		42074
17065		
52628		134724
31048		79866
7547		
38595		
8632		20629
8632		
190		3868
190		
163		3679
163		
47580		108042
33750		91014
7102		
40852		
19281		39321
19281		
423		8197
423		
64		2599
64		
215		2258
215		
		15
60835		143404
59955		151284
59955		
20660		55904
20660		
64		4546
64		
80679		211734
26904		64952
3227		
30131		
30131		64952
30355		76059
30355		
98		15627
98		
30453		91686
47461		113715
4774		
52235		
52235		113715
22173		57459
22173		
5927		17359
5927		
		1
28100		74819
34338		82498
5538		
39876		
237		8343
237		
66		7665
12		
78		
40191		98506
30333		105323
18227		
48560		
23881		53068
23881		
92		4592
92		
307		3170
307		
72840		166153
28480		80716
9094		
37574		
141		17246
141		
37715		97962
31123		75181
31123		
8427		24620
8427		
39550		99801
23893		72149
5083		
1738		
30714		
12870		37384
12870		
43584		109533
44038		100995
44038		
13229		46418
12116		
25345		
346		3876
346		
69729		151289
45119		109761
45119		
26466		54235
26466		
		48
71585		164044
43813		129720
43813		
273		
273		
44086		129720
20959		52791
20959		
10119		29069
10119		
31078		81860
35444		89555
35444		
23592		55275
23592		
54		4486
54		
59090		149316
42080		99638
183		
42263		
22776		64613
10679		
33455		
75718		164251
53239		116176
53239		
31292		71573
31292		
454		7303
454		
84985		195052
19179		47134
19179		
9473		28485
6453		
1175		
17101		
36280		75619
55483		120130
55483		
27812		74647
27812		
481		5750
481		
83776		200527
47693		98831
47693		
24004		52227
24004		
393		4952
393		
		127
72090		156137
41545		118018
10617		
9952		
4788		
3689		
1866		
1425		
1081		
973		
960		
76896		
52039		96612
5881		
57920		
590		4119
590		
75		3353
75		
135481		222102
23312		78114
19364		
2862		
45538		
13942		34931
8558		
22500		
158		2790
158		
		4
68196		115839
60772		123696
60772		
12386		61208
6214		
5063		
4805		
3535		
32003		
486		6465
486		
93261		191369
41231		97541
41231		
14651		43312
9304		
23955		
437		3534
437		
65623		144387
3909777		8295816
26000		129446
26000		
		32825
26000		162271
23725		157850
23725		
15396		65481
15396		
		5025
		2951
39121		231307
21871		146488
21871		
28482		86930
28482		
		4417
		23
50353		237858
32205		109732
32205		
16398		103748
16398		
		27133
48603		240613
15126		123264
14234		
9735		
7213		
6474		
3310		
56092		
10238		83431
10238		
		41
		12
		8
66330		206756
44039		158806
44039		
18673		108007
18673		
		4093
		25
62712		270931
15598		103918
11047		
2625		
29270		
20535		79571
20535		
		3073
		2605
		2
		2
		1
49805		189172
342924		1538908
136490		564095
146404		450844
282894		
		109198
		5922
		4638
		80
		3
282894		1134780
		154539
1998		53010
1148		
3146		
		43
3146		207592
		121248
		121165
		242413
		150436
		44386
		3089
		197911
		106510
		99450
		3058
		1
		209019
		117186
		94824
		5794
		217804
3146		1074739
6110		69734
5771		
2505		11127
14386		
		2671
14386		254099
9515		97565
6253		
15768		
		5769
		4463
15768		251694
15768		251694
95419		111726
6681		
687		
102787		
616		
616		
230		
230		
		3051
103633		114777
103633		114777
474871		1826127
287741		
146712		
51330		
960654		
		24880
		19695
		16628
		15562
		78
		16
960654		4793534
		198126
		
		
		16
		203479
20521		108959
16393		
5141		
42055		
42055		271380
		228129
		237240
30707		95258
11661		
42368		
12728		82526
9691		
4250		
26669		
		2640
		17
		3
69037		180444
40603		123016
8915		
49518		
		19
49518		220013
		7
		199445
21310		97470
13474		
1721		
1653		
1336		
39494		
		13
		5
39494		139942
		34976
		20636
		180064
20918		119309
15804		
15535		
6465		
5972		
64694		
23768		118940
14699		
38467		
103161		238249
		3
		1
		235539
14965		97834
12520		
27485		
27485		223799
		6526
		233773
32426		90663
3850		
36276		
		23
36276		90686
		2
		128132
		
		
		112306
		4254
		213605
		
15464		89863
9816		
25280		
25280		213658
		103933
392306		3851942
27043		94961
27043		
20722		43668
20722		
47765		138629
46059		88662
46059		
11755		41967
11755		
57814		130629
39572		130428
39572		
24197		62371
24197		
63769		192799
27529	41281	106352
29216	28915	
5253		
61998	70196	
8832		34778
8832		
		64
70830	70196	141194
49993		122380
49993		
		48
49993		122428
47921		144958
10322		
58243		
15989		55294
15989		
74232		200252
40940		130561
40940		
15987		53553
15987		
56927		184114
33133		80660
33133		
25065		78908
5684		
30749		
63882		159568
47682		128685
47682		
10354		39240
4618		
14972		
		1
62654		167926
30845		117721
30845		
23110		57032
23110		
53955		174753
30291		118524
30291		
18881		48261
18881		
		3
49172		166788
26257		71651
26257		
14540		70787
14540		
40797		142438
29179		103019
14157		
43336		
13712		45770
13712		
57048		148789
748838	70196	2070307
20194		32677
269		
20463		
246		
246		
		1201
20709		33878
20709		33878
129158		210330
107163		
236321		
10139		
6057		
3146		
2299		
1601		
1482		
24724		
211		6415
211		
168		
168		
261424		342842
82169		112904
21667		
103836		
5652		49890
4180		
9832		
113668		162794
24487		106906
23643		
16001		
12649		
10730		
8254		
8030		
4479		
2688		
1174		
112135		
8420		68244
8226		
16646		
101		
101		
128882		175150
242550		337944
18985		115843
13624		
13472		
13186		
7976		
6289		
73532		
10885		103935
3671		
14556		
		6857
		2882
		2457
88088		231974
58955		132262
58955		
13300		73441
13300		
		5113
		2516
72255		213332
160343		445306
81593		146623
18427		
