PRIMARY VOTES	RUNOFF VOTES	GENERAL VOTES 		
41197		253374		
		12		
		246861		
29236		128498		
5256				
2424				
36916				
36916		157466		
				
31080		153395		
2845				
33925				
		575		
33925		153970		
				
7492		90685		
6073				
4017				
17582				
		7		
17582		216096		
				
6299		61519		
3764				
10063				
10063		164788		
				
35456		129192		
8628				
44084				
		5487		
44084		149918		
				
				
13861		83031		
7455				
5136				
2209				
824				
29485				
29485		161337		
506413		4998555		
				
18971	22871	95337		
11890	19632			
10715				
6918				
2819				
1063				
52376	42503			
6122	6531	61175		
6148	3821			
5836				
18106	10352			
70482	52855	156512		
				
39941		96363		
39941				
16468		66537		
7252				
23720				
63661		162900		
				
37106		156277		
16294				
53400				
53400		156277		
				
26514		161211		
21909				
48423				
		109		
48423		161320		
				
48001		170326		
48001				
48001		170326		
				
44074		139018		
44074				
11493		71486		
11493				
55567		210504		
				
33804		113557		
33804				
7141		60112		
7141				
40945		173669		
				
36073		129938		
36073				
		119		
36073		130057		
				
49951		146059		
12315				
62266				
6415		34988		
6415				
68681		181047		
				
17408	26975	130703		
17143	22684			
7972				
3830				
2423				
2167				
1027				
51970	49659			
15965		65777		
15965				
67935	49659	196480		
				
20862	34667	161532		
14704	17807			
9745				
8448				
2288				
962				
57009	52474			
57009	52474	161532		
				
25093		91336		
7677				
6644				
5826				
1237				
46477				
26324		75478		
26324				
72801		166814		
				
29486		159445		
6367				
35853				
35853		159445		
				
32343		118782		
11324				
43667				
43667		118782		
				
762498	154988	2305665		
				
				
5898		20693		
2016				
24				
7938				
6753		14956		
120				
6873				
		113		
14811		35762		
14811		35762		
				
52736		93390		
33678				
12135				
7937				
4555				
4495				
3039				
118575				
20802		86454		
777				
21579				
99				
94				
193				
140347		179844		
92032		142010		
92032				
9094		33630		
6926				
16020				
373		4693		
373				
108425		180333		
248772		360177		
				
				
				
56206		143580		
5164				
3494				
3373		7		
3304				
71541				
9047		77277		
1981				
11028				
82569		220864		
48632		131492		
30263				
78895				
14547		82801		
14547				
93442		214293		
176011		435157		
				
				
				
47627		162268		
47627				
17188		59749		
17188				
64815		222017		
				
40286		160337		
40286				
16096		43799		
16096				
		130		
56382		204266		
				
28883		116764		
28883				
18358		64091		
10937				
29295				
58178		180855		
				
21625		79666		
4796				
2670				
29091				
6637		22278		
6637				
35728		101944		
				
26364		116364		
26364				
		56350		
21				
21				
153		11305		
153				
26538		184019		
65332		160287		
65332				
8615		78465		
8615				
73947		238752		
43061		155110		
43061				
7289		27168		
7289				
50350		182278		
10661		84178		
10661				
24657		66878		
9827				
34484				
45145		151056		
31576		141000		
31576				
15575		72384		
14148				
29723				
		66		
61299		213450		
32124		95992		
32124				
11945		91136		
11945				
44069		187128		
				
12461		93436		
12461				
13290		81335		
12024				
9460				
1253				
36027				
		1		
48488		174772		
				
33066		110038		
33066				
31015		87860		
31015				
120		11840		
120				
64201		209738		
27816		123337		
20951				
2147				
50914				
17322		86935		
9935				
4438				
31695				
82609		210272		
57665		145369		
57665				
5184		76861		
2691				
7875				
65540		222230		
66453		166274		
66453				
17108		55652		
17108				
83561		221926		
56593		153388		
15558				
72151				
12077		63810		
12077				
84228		217198		
21923		110560		
21923				
41063		88785		
41063				
		16		
62986		199361		
				
82412		184363		
82412				
6763		62377		
5692				
12455				
94867		246740		
1102931		3568002		
				
				
34446		86579		
34446				
12738		51000		
12738				
47184		142293		
				
28641		85583		
28641				
11103		55590		
3540				
2634				
1837				
19114				
47755		145200		
				
48837		102889		
5868				
5094				
59799				
2893		39771		
2805				
2597				
8295				
68094		148793		
				
43179		94998		
17472				
60651				
3742		47056		
2266				
1332				
778				
754				
8872				
69523		142054		
				
34996		105277		
7327				
5790				
48113				
6141		49756		
4856				
3660				
14657				
				
62770		161440		
				
49094		102187		
49094				
9078		45509		
5574				
4151				
18803				
67897		155071		
				
19446		61443		
1209				
782				
390				
21827				
4882		46887		
3258				
2840				
1872				
1057				
13909				
35736		112261		
				
30967		103344		
10405				
41372				
23055		61384		
23055				
64427		171315		
				
30402		101594		
4607				
3293				
38302				
10394		55016		
5737				
3561				
3206				
22898				
61200		162387		
				
524586		1340814		
				
				
16886		147762		
11420				
2413				
42				
30761				
10189		141145		
6559				
5076				
4067				
1846				
18				
27755				
		399		
58516		289306		
				
17154		143431		
117				
17271				
15043		129455		
11634				
3746				
52				
30475				
		443		
47746		273329		
				
42545				
9233		119109		
75				
9308				
		9054		
		4360		
				
		729		
51853		282066		
43098		169834		
382				
43480				
9900		105504		
42				
9942				
		295		
53422		275633		
211537		1120334		
				
				
42847		138764		
35108				
77955				
8209		65397		
4293				
12502				
90457		204161		
41850		128742		
18680				
60530				
18337		87153		
18337				
78867		225686		
47319		134493		
47319				
14189		89584		
6524				
20713				
68032		224077		
43564		138757		
25977				
69541				
11408		69396		
11408				
80949		208153		
318305		862077		
				
				
38055		63596		
30528				
68583				
68583		236618		
		226834		
52026		157056		
7747				
59773				
59773		247355		
		222158		
38949		47617		
27246				
66195				
66195		218967		
46727		98290		
30035				
76762				
76762		245694		
271313		1397626		
				
		244004		
		221570		
		236268		
		207919		
		239551		
		258479		
		1407791		
				
				
30950		186674		
30950				
17061		94751		
17061				
		27410		
		63		
48011		308898		
				
19736		133308		
14987				
34723				
19906		118556		
8116				
28022				
		31336		
		248		
62745		283448		
110756		592346		
				
				
45477		176342		
12913				
58390				
19937		73843		
14965				
34902				
		233		
93292		250418		
43614		120412		
6450				
6164				
56228				
14990		70411		
14990				
		205		
71218		196354		
54926		128594		
9564				
64490				
7597		87029		
7303				
2524				
17424				
		323		
81914		215946		
53648		134628		
8021				
61669				
5368		54217		
3469				
