PRIMARY VOTES	RUNOFF VOTES	GENERAL VOTES 		
42512		144073		
				
43030		107120		
43030				
11691		64463		
3863				
15554				
58584		177883		
				
33909		116944		
6433				
698				
41040				
41040		141470		
				
31727		83342		
31727				
11585		44152		
11585				
43312		131047		
				
36821		62508		
36821				
36821		76136		
				
6244		41321		
6244				
6244		46143		
				
23756		93041		
10216				
33972				
		5598		
33972		105793		
				
30011		91607		
30011				
8036		45715		
8036				
38047		143028		
				
28981		96495		
16574				
45555				
10681		55325		
10681				
56236		156096		
				
13292		43769		
4798				
18090				
18090		50592		
				
26237		47503		
26237				
7427		30811		
7427				
				
33664		79877		
				
15399		60124		
15399				
9717		32040		
9717				
25116		96225		
				
17194	19301	101663		
12024	14069			
3556				
3506				
3388				
2648				
2325				
1574				
1470				
1444				
1288				
1116				
51533	33370			
6507		29543		
6507				
				
58040	33370	133842		
				
1588822	90169	4453499		
				
				
				
				
		4534		
		130034		
				
				
				
				
		3328		
		1734		
		117		
		146188		
				
				
				
		3192		
		2584		
		1513		
		280		
		142580		
				
				
				
		2032		
		147168		
				
		565970		
				
19248		123349		
224				
19472				
4340		59432		
4026				
3803				
719				
12888				
		2750		
142		2071		
6				
148				
		2024		
		1685		
90				
90				
		193		
32598		191504		
				
32598		191504		
				
				
4866		21224		
4134				
750				
1				
1				
1				
1				
1				
1				
9756				
		224		
9756		23412		
				
9756		23412		
				
13292		131861		
4159				
17451				
		5097		
		604		
17451		209621		
				
		324		
		173060		
				
		8205		
		147402		
				
		4427		
		257		
		200638		
				
				
		4298		
		2209		
		221		
		204945		
				
		22161		
		21447		
		2202		
		179708		
				
36105		148026		
28912				
65017				
		5086		
		325		
65017		243351		
				
		1236		
		241313		
				
17783		128102		
7095				
5262				
3264				
2613				
2117				
479				
126				
85				
42				
38866				
		5420		
		4409		
		963		
		372		
39090		203076		
				
		39412		
		5938		
		162815		
				
		3393		
		2442		
		946		
		258		
				
				
				
		3264		
		1739		
		226		
		187805		
				
135167		2376644		
				
				
59798		124151		
19407		101428		
18424				
11891				
5252				
2044				
1192				
118008		225579		
				
61150		122173		
36002		79518		
12844				
109996		201691		
				
58913		124796		
45788		78018		
15959				
120660		202814		
				
27326		77772		
33965		75307		
13062				
11061				
6863				
6744				
3270				
2107				
1496				
547				
178				
161				
106780		153079		
				
74416		135470		
41203		87772		
16382				
11811				
143812		223242		
				
82552		141265		
48268		83025		
4918				
4890				
140628		224290		
				
114039		203954		
13586		47921		
9707				
9371				
1665				
148368		251875		
				
66715		125741		
30759		73003		
9273				
106747		198744		
				
59489		118132		
25290		48662		
5434				
2737				
92950		166794		
				
51738		99279		
41416		82213		
4811				
2342				
100307		181492		
				
1188256		2029600		
				
27589		92491		
27589				
34764		52109		
34764				
		137		
62353		144737		
				
12678		72619		
7848				
6358				
3885				
2125				
1684				
621		9		
35199				
21646		67687		
14061				
35707				
		6250		
		3		
70906		154250		
				
14374		77713		
14374				
37176		62688		
18767				
55943				
70317		140401		
				
203576		439388		
				
				
40813		182316		
2450				
30				
43293				
25627		105552		
7318				
71				
33016				
4				
4				
		29		
		273		
76313		288170		
				
52517		224920		
216				
52733				
12464		103619		
20				
12484				
11				
11				
		308		
				
65228		328847		
28783		155368		
70				
28853				
13552		119540		
5630				
4704		128		
17				
23903				
12				
12				
		125		
52768		275161		
				
52413		179045		
21242				
257				
73912				
3386		68490		
855				
9				
4250				
19				
19				
		7002		
		355		
78181		254892		
				
43266		231160		
82				
43348				
21715		101190		
141				
21856				
8				
8				
		476		
65212		332826		
				
23247		169767		
23028				
15873				
2117				
30				
64295				
19714		122212		
49				
19763				
		6865		
12				
12				
		189		
84070		299033		
				
25707		169891		
3607				
20				
2		5		
29336				
18631		112949		
5256				
24				
23911				
		3686		
9				
9				
		30		
		42		
53256		286603		
				
33330		188553		
85				
33415				
18030		101345		
34				
18064				
12				
12				
		150		
51491		290048		
				
526519		2355580		
				
70918		113038		
22251				
274				
93443				
14209		37803		
190				
14399				
		7112		
		6749		
		398		
107842		165100		
107842		165100		
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
